นิติบุคคลจัดตั้งเดือนตุลาคม 2561,,,,,,,,,,,
ทั่วประเทศ,,,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,ตำบล,อำเภอ,จังหวัด,"รหัส
ไปรษณีย์"
72,0105561182926,บจ.อินโนลิเจนท์ ออโตเมชั่น จำกัด,22/10/2561," 5,500,000 ",71102,ประกอบกิจการบริหารจัดการ เครื่องควบคุมการทำงานตู้จ่ายน้ำมันเชื้อเพลิง,90  อาคารซีดับเบิ้ลยู ทาวเวอร์ เอ ชั้นที่ 33 ถนนรัชดาภิเษก,แขวงห้วยขวาง,เขตห้วยขวาง,กรุงเทพมหานคร,10310
73,0105561171649,บจ.โปรเกรซ ไซน์ จำกัด,4/10/2561," 5,005,000 ",73101,ประกอบกิจการ บริการทางด้านกิจการโฆษณา,270  ถนนจอมทองบูรณะ,แขวงบางปะกอก,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,10140
74,0105561173803,บจ.แพนด้า ทราเวล อิเล็กทรอนิก คอมเมิร์ซ จำกัด,8/10/2561," 5,000,000 ",79909,ประกอบกิจการให้บริการจองและสำรองที่พัก โรงแรม และบริการจัดหาสถานที่ประชุมสัมมนา,647  ถนนเจริญรัถ,แขวงคลองสาน,เขตคลองสาน,กรุงเทพมหานคร,10600
75,0105561180133,บจ.เอ็น เค ซี คาร์ จำกัด,18/10/2561," 5,000,000 ",45101,ประกอบกิจการค้า รถยนต์ ทุกชนิด รถจักรยานยนต์ เครื่องอะไหล่ยนต์ หม้อแบตเตอรี่,154/1  ถนนรัชดาภิเษก,แขวงบุคคโล,เขตธนบุรี,กรุงเทพมหานคร,10600
76,0105561184775,บจ.เคทู เมดิคอล (ประเทศไทย) จำกัด,26/10/2561," 5,000,000 ",46441,ประกอบกิจการนำเข้าส่งออก ผลิตและจำหน่ายอุปกรณ์เครื่องมือทางการแพทย์ทุกชนิด,77/87  ถนนกรุงธนบุรี,แขวงคลองต้นไทร,เขตคลองสาน,กรุงเทพมหานคร,10600
77,0105561186689,บจ.เวลธี สตาร์ เอเชีย โฮลดิ้ง จำกัด,30/10/2561," 5,000,000 ",68102,ประกอบธุรกิจการจัดสรรและพัฒนาอสังหาริมทรัพย์ ถือครองอสังหาริมทรัพย์ การก่อสร้าง โครงการวิศวกรรมโยธา ระบบสาธารณูปโภค,6/2  ซอยสิทธิเกษม ถนนสมเด็จเจ้าพระยา,แขวงสมเด็จเจ้าพระยา,เขตคลองสาน,กรุงเทพมหานคร,10600
78,0105561172882,บจ.เอ็น.เอส.ร่วมค้า จำกัด,5/10/2561," 5,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง สร้างถนน สะพาน อุโมงค์,539/60  ถนนจรัญสนิทวงศ์,แขวงบางขุนศรี,เขตบางกอกน้อย,กรุงเทพมหานคร,10700
79,0105561180214,บจ.อินโนเวทีฟ คอนกรีต จำกัด,18/10/2561," 5,000,000 ",23941,ประกอบกิจการผลิตและจำหน่าย ปูนซีเมนต์ ผสมปูนซีเมนต์,71/26 ชั้น 1  ถนนบรมราชชนนี,แขวงอรุณอมรินทร์,เขตบางกอกน้อย,กรุงเทพมหานคร,10700
80,0105561183639,บจ.แอนโทฟิลล่า กรุ๊ป จำกัด,24/10/2561," 5,000,000 ",10799,ประกอบกิจการผลิต นำเข้า ส่งออก อาหารแห้ง ผัก ผลไม้ สินค้าการเกษตร แปรรูป อาหารทุกประเภท,448  ซอยจรัญสนิทวงศ์ 94,แขวงบางอ้อ,เขตบางพลัด,กรุงเทพมหานคร,10700
81,0105561185526,บจ.โฟลว์ ทรานสปอร์ทส์ จำกัด,29/10/2561," 5,000,000 ",49323,การขนส่งและการขนถ่ายสินค้า,89/14-15  ถนนอรุณอมรินทร์,แขวงอรุณอมรินทร์,เขตบางกอกน้อย,กรุงเทพมหานคร,10700
82,0105561169172,บจ.มกเซ่ง ค้าไม้ จำกัด,1/10/2561," 5,000,000 ",46632,ประกอบกิจการ จำหน่ายไม้แปรรูปทุกชนิด,63  ถนนประชานฤมิตร,แขวงบางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,10800
83,0105561176543,บจ.เน็กซเตอร์ รีเทล จำกัด,11/10/2561," 5,000,000 ",47524,ซื้อขายวัสดุก่อสร้างทุกชนิด,1  ถนนปูนซิเมนต์ไทย,แขวงบางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,10800
84,0105561184287,บจ.เซต้า กรุ๊ป จำกัด,25/10/2561," 5,000,000 ",90002,ประกอบกิจการเกี่ยวกับธุรกิจบันเทิง งานคอนเสริต์ อีเว้นท์ Production House ออกแบบงานกราฟฟิค โฆษณา สื่อต่างๆ ผับ บาร์ ร้านอาหาร,98/1  ตรอกเชิงสะพานพิบูลฯ(ฝั่งขวา),แขวงบางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,10800
85,0105561178252,บจ.วอล์คเกอร์ อินเตอร์เนชั่นแนล ทรานสปอร์ตเตชั่น (ไทยแลนด์) จำกัด,16/10/2561," 5,000,000 ",52292,ประกอบธุรกิจให้บริการเป็นตัวแทนรับจัดการส่งสินค้าให้บริการเกี่ยวกับขนส่งสินค้า คนโดยสาร โดยทางบก ทางน้ำ ทางอากาศ,599/43  หมู่บ้าน กลางกรุงรัชวิภา ถนนรัชดาภิเษก,แขวงจตุจักร,เขตจตุจักร,กรุงเทพมหานคร,10900
